col_name,data_type,comment
article_content,string,null
article_id,struct<$oid:string>,null
article_sentiment,double,null
article_type,string,null
article_url,string,null
entities,"array<struct<competitors:array<string>,country:string,entity_id:string,exchange:string,global_id:string,index:string,industry:string,name:string,region:string,sector:string,ticker:string,type:string>>",null
event_author_rank,array<string>,null
event_groups,"array<struct<group:string,type:string>>",null
event_impact_score,"struct<on_entities:array<struct<entity:string,on_entity:bigint>>,overall:double>",null
event_source_rank,"array<struct<event_group:string,source_rank:bigint>>",null
event_summary,"struct<acting_party:string,action:string,group:string,sub_theme:string,theme:string,topic:string>",null
first_mention,boolean,null
harvested_at,string,null
id,bigint,null
overall_author_rank,bigint,null
overall_source_rank,bigint,null
story_id,struct<$oid:string>,null
story_saturation,string,null
story_sentiment,double,null
story_volume,bigint,null
